frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport
"203","20.42.65.84","192.168.0.228","443","33890"
"300","104.46.162.226","192.168.0.228","443","45980"
"365","104.46.162.226","192.168.0.228","443","45982"
"1055","20.189.173.4","192.168.0.228","443","35790"
"2020","13.69.239.73","192.168.0.228","443","33626"
"2121","13.89.178.26","192.168.0.228","443","42996"
"2447","20.189.173.6","192.168.0.228","443","52992"
"3114","20.42.72.131","192.168.0.228","443","55260"
"3851","20.189.173.1","192.168.0.228","443","52552"
"7173","104.46.162.226","192.168.0.228","443","51304"
"7272","104.46.162.226","192.168.0.228","443","51308"
"7388","13.89.178.26","192.168.0.228","443","42564"
